	District	Population	Code	Latitude	Longitude	VenueName	VenueId	VenueLatitude	VenueLongitude	VenueCategory
82	Bang Bon	105161	50	13.6665033	100.4288593	ยกทะเล ซีฟู๊ดบุฟเฟ่ต์	5505ac0f498ead0435384ac8	13.649511370491474	100.44567162859865	Seafood Restaurant
83	Bang Bon	105161	50	13.6665033	100.4288593	The Bright (เดอะ‎ ไบร์ท‬)	564c1afa498e13396289fb73	13.668853325652766	100.45231774949367	Shopping Mall
84	Bang Bon	105161	50	13.6665033	100.4288593	My Care Thai Massage	4b9c7957f964a520266b36e3	13.672303643214669	100.45590861335204	Massage Studio
85	Bang Bon	105161	50	13.6665033	100.4288593	Grafika Specialty Coffee	5538afcc498e935d05ad9166	13.702218672313707	100.4442943959032	Coffee Shop
86	Bang Bon	105161	50	13.6665033	100.4288593	Je Ngor's Kitchen (ครัวเจ๊ง้อ)	4c595f4c04f9be9a680cef60	13.67703063704258	100.46460426841453	Chinese Restaurant
87	Bang Bon	105161	50	13.6665033	100.4288593	เจ๊ไน้ ก๋วยเตี๋ยวเป็ดตุ๋น	4d69adfa342b8cfa9bbccc2c	13.654137039332921	100.40532266193013	Noodle House
88	Bang Bon	105161	50	13.6665033	100.4288593	Mitta Cafe (มิตตะ คาเฟ่)	54b4b9f9498eb25857e0ef66	13.637555421421483	100.40409747080146	Coffee Shop
89	Bang Bon	105161	50	13.6665033	100.4288593	Green House Restaurant (ร้านอาหารกรีนเฮ้าส์)	4d7d8614645ea35df1435af8	13.676877082166607	100.407105264969	Thai Restaurant
90	Bang Bon	105161	50	13.6665033	100.4288593	สอาด ลูกชิ้นปลา (สอาด ลูกชิ้นปลาเฉาโจว)	53325360498efcbdc5e671fc	13.637548351817584	100.40429683910203	Noodle House
91	Bang Bon	105161	50	13.6665033	100.4288593	ก๋วยเตี๋ยวแคะเจ๊โหนก กัลปพฤกษ์	58c50d92260327384aebfc3f	13.698899779511622	100.44158728639866	Noodle House
92	Bang Bon	105161	50	13.6665033	100.4288593	เจ๊โหนก ก๋วยเตี๋ยวลูกชิ้นแคะ (Je Noke Noodle)	4c68e52535d3be9a3a091e06	13.67539146389228	100.4615592956543	Noodle House
